step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
2260000,0,0.132,,5322.108,1536.218276,2027.964844,0.04889141558,100.3,1103.977332,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.99519372,0.01230717264,0.04230859876
2280000,0,0.268,,5346.418,1535.750974,2027.964844,0.04867006225,100.3,1104.804767,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.023113012,,
2300000,0,0.23,,5415.182,1535.594791,2027.964844,0.04804469274,100.3,1107.059017,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.025056839,0.01414624508,0.052567821
2320000,0,0.011,,5436.511,1535.277358,2027.964844,0.04785754035,100.3,1107.73491,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.974085569,,
2340000,0,0.369,,5503.041,1535.160181,2027.964844,0.04727872457,100.3,1109.741727,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.01388073,0.01222885214,0.04360402003
2360000,0,-0.032,,5526.987,1534.856087,2027.964844,0.04708029197,100.3,1110.421561,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.918904305,,
2380000,0,0.52,,5595,1534.673663,2027.964844,0.04650324441,100.3,1112.400944,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.992193699,0.01081216522,0.06193394586
2400000,0,0.322,,5620.694,1534.146377,2027.964844,0.04629463485,100.3,1113.215516,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.044233799,,
2420000,0,0.37,,5700.328,1533.868922,2027.964844,0.04564755839,100.3,1116.628883,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.007248402,0.01124580204,0.0446183607
2440000,0,0.15,,5729.843,1533.389657,2027.964844,0.04540654699,100.3,1117.862771,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.999410629,,
2460000,0,0.364,,5807.633,1533.507817,2027.964844,0.04479944435,100.3,1120.953577,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,3.011825562,0.01325358264,0.04800533131
2480000,0,0.224,,5837.738,1533.168209,2027.964844,0.04456728278,100.3,1122.155925,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.97555089,,
2500000,0,0.376,,5917.081,1533.426267,2027.964844,0.04397477416,100.3,1125.190833,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.957094908,0.00822165329,0.05693888292
2520000,0,0.29,,5944.787,1532.815855,2027.964844,0.04376590331,100.3,1126.229738,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.981447697,,
2540000,0,0.285,,6025.015,1532.937689,2027.964844,0.04318714429,100.3,1129.433232,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.985344648,0.01464424189,0.05252642557
2560000,0,0.161,,6051.974,1532.785463,2027.964844,0.04299283453,100.3,1130.633016,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.911181927,,
2580000,0,-0.039,,6135.836,1533.118922,2027.964844,0.04240631164,100.3,1133.637494,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.877365112,0.01348687988,0.07358501852
2600000,0,0.099,,6161.94,1532.558515,2027.964844,0.04222585925,100.3,1134.663523,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.890323877,,
2620000,0,0.273,,6190.075,1532.132923,2027.964844,0.04203323558,100.3,1135.696583,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.939646959,,
2640000,0,-0.017,,6272.054,1532.008979,2027.964844,0.04147909968,100.3,1138.566499,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.878590107,0.01347131655,0.06241336092
2660000,0,0.126,,6296.356,1531.70937,2027.964844,0.04131966688,100.3,1139.327985,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.86300087,,
2680000,0,-0.065,,6370.453,1531.525035,2027.964844,0.04084217192,100.3,1141.176769,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.853484631,0.009943408892,0.06905935705
2700000,0,0.21,,6398.725,1531.073795,2027.964844,0.04066193853,100.3,1142.059783,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.881481647,,
2720000,0,0.039,,6476.928,1530.980176,2027.964844,0.04016814573,100.3,1144.324927,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.824911594,0.01780666597,0.07337290794
2740000,0,0.669,,6502.811,1530.717882,2027.964844,0.04001240695,100.3,1144.931619,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.982138872,,
2760000,0,0.472,,6573.259,1530.873511,2027.964844,0.03958269408,100.3,1146.573875,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.940402031,0.01535183471,0.06675480306
2780000,0,0.054,,6601.532,1530.634388,2027.964844,0.03941338222,100.3,1147.33076,1525.070313,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,2.820543528,,
